	0	1
0	Потому , что не было уверенности , что все читали , даже те , кто мог бы выступить с осуждением статьи , и могло бы получиться , что начали бы автоматически поддакивать против распущенности печати и дело смяли бы ...	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1	> Каким приговором , указом каким > Ты здесь , за забором , гнездо себе свил ?	O O O O O O O O O O O O O O O O O
2	Подумал , что летом ребята куда затащили .	O O O O B-CHAR O O O
3	Нашел потрясающие материалы о В . М . Брадисе , об отце писательницы Галины Николаевой ( приеду в Москву , перечитаю ее мемуары ) .	O O O O B-PER I-PER I-PER I-PER I-PER O O B-CHAR B-CHAR B-PER I-PER O O O B-LOC O O O O O O
4	Уж то ростовское дело куда ярче !..	O O O O O O O
5	17 апреля был необычный день .	O O O O O O
6	Береги себя , береги .	O O O O O
7	Местная газетка , однообразная , унылая , приниженная ; непроходимая забота о куске хлеба , дровах , водка ...	O O O O O O O O O O O O O O O O O O O
8	« … Важно , чтобы написано было , ведь именно в этом чудо , а мы еще хотим и издания написанного , то есть чуда в кубе ! »	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
9	А рейтинг Ельцина рос , поэтому критика в его адрес воспринималась негативно .	O O B-PER O O O O O O O O O O
10	Однако не будем поддаваться эмоциям .	O O O O O O
11	Я не играю эти «душмики » меня дымом душат не знаю куда от них дется .	O O O O O O O O O O O O O O O O
12	Я чуть на стену не влез !	O O O O O O O
13	Они ходили по домам и предлагали жителям сегодня-завтра покинуть район , так как намерены начать боевые действия .	O O O O O O O O O B-LOC O O O O O O O O
14	Утром в 5.45 тянули вальдшнепы .	O O O O O O
15	2 . Щекин ( Юго-Запад ) .	O O B-LOC I-LOC I-LOC I-LOC O
16	Теперь Гладилова уезжает .	O B-PER O O
17	Беседа продолжается около трех часов — намного дольше запланированного времени , из-за чего мы пропускаем первый акт балета , даваемого сегодня вечером Большим театром в Кремлевском Дворце съездов .	O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O B-FAC I-FAC I-FAC O
18	И все полетит ...	O O O O
19	— « Эмма все врет ! »	O O B-PER O O O O
20	> 40 ) Перчаток лайковых белых две пары .	O O O O O O O O O
21	Дневник для меня — своеобразная $ $ гимнастика $ $ ума .	O O O O O O O O O O O O
22	Лейкин чувствует , что книгу не хотят выпускать , не подходит она издательству-государству .	B-PER O O O O O O O O O O O O O
23	Весь день работал над материалами для Испании .	O O O O O O B-LOC O
24	Сам стал обзванивать республиканские столицы .	O O O B-LOC I-LOC O
25	Каждое утро к половине десятого полагается быть в своем кабинете , ланчи , коктейли , обеды , поездки в аэропорт , в министерство — и вдруг больше не надо делать всего того , что я делал на протяжении почти 39 лет , и пребывание в Москве в течение трех с тремя четвертями лет для нас тоже достаточно .	O O O O O O O O O O O O O O O O O O O B-FAC O O B-FAC O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
26	Утром Галя принесла мне в постель манную кашу и вообще со мной очень любезна .	O B-PER O O O O O O O O O O O O O
27	Приехал Борис Плотников с Москвы вернули и сразу увезли в Чернобыль .	O B-PER I-PER O B-LOC O O O O O B-LOC O
28	Бегу в МПП и наблюдаю жуткую картину .	O O B-ORG O O O O O
29	Мы идем к родственникам Тани Прониной Саше и Рите Середенко .	O O O B-CHAR B-PER I-PER B-PER O B-PER I-PER O
30	Слушай , когда тебе говорят : мы крысы и мы не хотим быть людьми !	O O O O O O O O O O O O O O O
31	Вспоминаю , как он , имея обыкновение всегда опаздывать , пришел в этот день в точно назначенный срок — 10 утра .	O O O O O O O O O O O O O O O O O O O O O O
32	Сегодня целый день шел снег и мы измазались как поросята наверное наступила зима .	O O O O O O O O O O O O O O
33	Воды не жалко .	O O O O
34	Влюбленность , стремление — странное чувство .	O O O O O O O
35	Вы очень интересный мужчина , но пожилой , мне не пара .	O O O B-CHAR O O O O O O O O
36	На обратном пути заехали в Дом пионеров .	O O O O O B-FAC I-FAC O
37	Судя по тостам и выступлениям П . Петрова и И . Желева , они противники перестройки и особенно возмущены развалом союза стран Варшавского пакта .	O O O O O B-PER I-PER I-PER O B-PER I-PER I-PER O O O O O O O O O O O O O
38	Идут все , не зная куда , просто так бродят .	O O O O O O O O O O O
39	Ты , Георгий , говоришь : « мы — такие же » ...	O O B-PER O O O O O O O O O O
40	В городе убили двух военных .	O B-LOC O O B-CHAR O
41	Вечером ходил в роту к землякам они приезжали ночевать , поболтали о том о сем стало веселее на душе .	O O O O O B-CHAR O O O O O O O O O O O O O O
42	Кто-то неуверенно насчёт милиции .	O O O B-ORG O
43	« А це значить , — говорив батько , — що за 20 років можна одержати стільки грошей , що у колгоспі і за сто років не заробиш .	O O O O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O
44	Рутина .	O O
45	Основное возражение заключалось в том , что эта организация и ДОМА будут иметь одну и ту же цель .	O O O O O O O O O O O O O O O O O O O
46	Работа над « Революцией сверху » .	O O O O O O O
47	Пусть себе летит к маме .	O O O O B-CHAR O
48	Я удивилась , к чему это .	O O O O O O O
49	Только прежде сами подпишите и пусть Малик-Кази подпишет договор не обстреливать военную технику и солдат на ваших землях .	O O O O O O B-PER O O O O O O O B-CHAR O O O O
50	Наш день , который я всю жизнь буду помнить .	O O O O O O O O O O
51	Горбясь и оскалив веселую пасть , он поддерживал руками на спине две серебряные створки раковины , между которыми была своеобразная серебряная ручка .	O O O O O O O O O O O O O O O O O O O O O O O
52	Вместе с Митей Захаровым поехали к Белому дому : ложная тревога — якобы кто-то видел БТРы на Ленинском проспекте .	O O B-PER I-PER O O B-FAC I-FAC O O O O O O O O O B-LOC I-LOC O
53	У них с собой куча всяких заморских деликатесов , и они нас часто угощают .	O O O O O O O O O O O O O O O
54	Но у меня пока все нормально помылся , дали все белое носки кальсоны рубашки и чепчик ( можно людей пугать ) .	O O O O O O O O O O O O O O O O O O O O O O
55	Вот Северный — там полоса заложена правильно : 222 .	O B-MISC O O O O O O O O
56	В конце узкой горизонтальной площадки прилепился домик из кирпича , низкий с узкими окнами — щелями для пулеметов .	O O O O O O O O O O O O O O O O O O O
57	Мы обеспечим вас научной работой .	O O O O O O
58	Бригадир наш не вытерпел и полез на крышу ( нрзб ) работу выполнять .	B-CHAR O O O O O O O O O O O O O
59	Выпало нам честь укладывать доски в кучу .	O O O O O O O O
60	Идет информация ...	O O O
61	Ездили ок . 8 часов и проехали от 84 до 94 км ( точно неизвестно ) .	O O O O O O O O O O O O O O O O O
62	Отсосали пробку из бронха , и смещение средостения уменьшилось .	O O O O O O O O O O
63	Множество общих знакомых .	O O B-MISC O
64	Вот такая наша летная жизнь на данном этапе .	O O O O O O O O O
65	Проехали по кукурузному полю , разрушили гусеницами 1 или 2 арыка .	O O O O O O O O O O O O
66	Кроме того что она дочь Ульянова , так она еще замужем за сыном Маркова .	O O O O B-CHAR B-PER O O O O O O B-CHAR B-PER O
67	После ужина вышли на балкон , откуда открывается прекрасный вид на старый город , смотрели сеанс цветомузыки .	O O O O O O O O O O O O B-LOC O O O O O
68	По дороге домой остановились в Приборске в кафе я купил сосисок горячих и шоколадку за 2 р .	O O O O O B-LOC O B-FAC O O O O O O O O O O
69	Все машины , согнанные к нам со всей 40-й армии , кое-как привели в порядок .	O O O O O O O O O O O O O O O O
70	Принесла документы по истории пензенского театра в XVIII веке .	O O O O B-FAC I-FAC O O O O
71	Придираться к исполнению как-то не хочется , да и в конце концов действительно [ ни ] к чему не придерешься .	O O O O O O O O O O O O O O O O O O O O O
72	Да ничего не возьмешь .	O O O O O
